"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
"has been added to your quote cart","foi adicionado ao seu carrinho de cotações"
"has been added to your cart","foi adicionado ao seu carrinho"
"Add to Quote","Adicionar à Cotação"
"Add to Cart","Adicionar ao Carrinho"
"We can't add this item to your shopping cart right now. Please reload the page.","Não podemos adicionar este item ao seu carrinho de compras agora. Por favor recarregue a página."
"We can't add this item to your shopping cart right now.","Não podemos adicionar este item ao seu carrinho de compras agora."
"%1 has been added to your quote cart","%1 foi adicionado ao seu carrinho de cotações"
"%1 has been added to your cart","%1 foi adicionado ao seu carrinho"
"Please specify the quantity of product(s).","Especifique a quantidade do(s) produto(s)."
"You need to choose options for your item.","Você precisa escolher opções para seu item."
"Continue shopping","Continuar"
Cancel,Cancelar
"Add to quote","Adicionar à Cotação
"Add to cart","Adicionar ao Carrinho"
"Set options","Definir opções"
"There is","Tem"
" item"," item"
"There are","Tem"
" items"," itens"
"Quote Cart","Carrinho de Cotação"
" in your quote cart."," em seu carrinho de cotações."
"View Cart","Ver Carrinho"
" in your cart."," no seu carrinho."
"Cart Subtotal:","Subtotal do Carrinho:"
Information,Informação
Continue,Continuar
"Go to Checkout","Fechar Pedido"
"We can't add this item to your shopping cart.","Não podemos adicionar este item ao seu carrinho de compras."
"We can't find the quote item.","Não conseguimos encontrar o item da cotação."
"%1 was updated in your quote cart.","%1 foi atualizado em seu carrinho de cotações."
"%1 was updated in your shopping cart.","%1 foi atualizado em seu carrinho de compras."
"We can't update the item right now.","Não podemos atualizar o item agora."
"%1 has been added to your cart.","%1 foi adicionado ao seu carrinho."
"This product(s) is out of stock.","Este(s) produto(s) está(ão) fora de estoque."
"We can't add the item to the cart right now.","Não podemos adicionar o item ao carrinho agora."
"in your cart","no seu carrinho"
"More Choices:","Mais Escolhas:"
"You may be interested in the following items","Você pode estar interessado nos seguintes itens"
"in your quote cart","no seu carrinho de cotações"
Center,Centro
Top,Topo
"Top Left","Topo Esquerda"
"Top Right","Topo Direita"
Left,Esquerda
Right,Direita
None,Nenhum
Related,Relacionados
Cross-sell,Venda Cruzada
"CMS Static Block","Bloco Estático CMS"
"Stay on Current Page","Fique na Página Atual"
"Go to Category Page","Vá para a Página da Categoria"
"Please select a static block","Selecione um bloco estático"
"Parent Configurable Product Image","Imagem do Produto Configurável Pai"
"Child Simple Product Image","Imagem de Produto Simples Filho"
"Mini Product Page","Mini Página do Produto"
"Custom Options & Product Qty","Opções Personalizadas & Quantidade do Produto"
"Product Image","Imagem do Produto"
"Product Quantity Field","Campo Quantidade do Produto"
"Number of Products in Cart","Número de Produtos no Carrinho"
"Cart Subtotal","Subtotal do Carrinho"
"Go to Checkout Button","Botão Fechar Pedido"
"Show Only if There Are Required Options","Mostrar Apenas se houver Opções Necessárias"
"Always Show All Custom Options","Sempre Mostrar Todas as Opções Personalizadas"
"%1 has been added to your Wish List.","%1 foi adicionado à sua lista de desejos."
"Add to Wish List","Adicionar a Lista de Desejos"
"Add to Compare","Adicionar para Comparar"
"In stock","Em Estoque"
"Out of stock","Fora de Estoque"
"Please choose the options for your item","Por favor, escolha as opções para o seu item"
Qty,Qtd
Update,Atualizar
Close,Fechar
"Please enter a quantity greater than 0.","Insira uma quantidade maior que 0."
"Ajax Shopping Cart","Carrinho de Compras Ajax"
General,Geral
"Enable Ajax Shopping Cart","Habilitar Carrinho de Compras Ajax"
"Enable Flying Image Effect","Habilitar Efeito de Vôo da Imagem"
"Set to ‘Yes' for a nice-looking visual effect. The product image 'flies' to the 'Top Cart' block in the top menu.","Defina como ‘Sim’ para um efeito visual. A imagem do produto 'voa' para o bloco 'Carrinho Superior' no menu superior."
"Show the Product Qty Added to the Cart on the Product Listing","Mostrar a Quantidade do Produto Adicionada ao Carrinho na Lista de Produtos"
"Add Products to Compare with AJAX","Adicionar Produtos para Comparar com AJAX"
"Add Products to Wish List with AJAX","Adicionar Produtos à Lista de Desejos com AJAX"
"Current functionality is not available with Multiple Wish Lists enabled.","A funcionalidade atual não está disponível com Multiplas Litas de Desejos habilitadas."
"Show a Mini Cart once Item is Added","Mostrar um Mini Carrinho assim que o Item for Adicionado"
"Set 'Yes' to Show a Mini Cart instead of Confirmation Pop-up once an item is added to the cart.","Defina 'Sim' para mostrar um mini carrinho em vez de pop-up de confirmação, uma vez que um item é adicionado ao carrinho."
"Dialog Pop-up","Diálogo Pop-up"
"Redirect to the Product Page","Redirecionar para a Página do Produto"
"Display Custom Options","Exibir Opções Personalizadas"
"Customers can select configurable products and custom options right on the category page. If the 'Show Only If There Are Required Options' is enabled and a product has at least one required option, all custom options including the required ones are shown.","Os clientes podem selecionar produtos configuráveis ​​e opções personalizadas diretamente na página da categoria. Se 'Mostrar apenas se houver opções obrigatórias' estiver habilitado e um produto tiver pelo menos uma opção obrigatória, todas as opções personalizadas, incluindo as obrigatórias, serão mostradas."
"Pop-up for Composite Products","Pop-up para Produtos Compostos"
"QTY Instant Change","Mudança Instantânea de Quantidade"
"Choose yes, if you want to change the qty in the cart immediately after changing the qty in the dialog pop-up","Escolha sim, se você deseja alterar a quantidade no carrinho imediatamente após alterar a quantidade na caixa de diálogo pop-up"
"Confirmation Pop-up","Pop-up de Confirmação"
"Dialog Close Delay (in seconds)","Fechamento da caixa de Diálogo (em segundos)"
"Set a timer for the Continue button. When the preset period expires, the dialog box disappears. If set to 0, dialog won’t be hidden automatically.","Defina um cronômetro para o botão Continuar. Quando o período predefinido expira, a caixa de diálogo desaparece. Se definido como 0, a caixa de diálogo não será ocultada automaticamente."
"Enable a Confirmation Pop-up on a Product Page","Habilite um Pop-up de Confirmação em uma Página de produtoa"
"Continue Button Action on a Product Page","Continuar a Ação do Botão em uma página de produto"
"Choose whether the Continue button on a product view page should link to the category page or remain on the product page.","Escolha se o botão Continuar deve: em uma página de exibição de produto deve ter um link para a página da categoria ou permanecer na página do produto."
"Confirmation Pop-up Display","Exibição do Pop-up de Confirmação"
"Align Pop-up","Alinhamento Pop-up"
"Choose where to locate the cart pop-up - Center, Top, Top left, Top right, Left, Right.","Escolha a localização do Pop-up do Carrinho - Centro, Topo, Superior Esquerdo, Superior Direito, Esquerda, Direita."
"Image Display for Configurable Products","Exibição de Imagens para Produtos Configuráveis"
"Choose to display a Parent Configurable Product Image or a Child Simple Product Image.","Escolha exibir uma Imagem do Produto Configurável Pai ou uma Imagem do Produto Simples Filho."
"Display in Pop-up","Exibir no Pop-up"
"Choose what to display in the Confirmation Pop-up","Escolha o que exibir no Pop-up de Confirmação"
"Selling Options","Opções de Venda"
"Block Type Displayed in the Confirmation Pop-up","Tipo de Bloco Exibido no Pop-up de Confirmação"
Title,Título
