"Are you sure you want to do this?","Você tem certeza de que quer fazer isso?"
Delete,Excluir
"Save and Continue Edit","Salvar e Continuar Editando"
Save,Salvar
"Cookie Settings","Configurações do Cookie"
"You deleted the cookie.","Você excluiu o cookie."
"We can't delete cookie right now. Please review the log and try again.","Não podemos excluir o cookie agora. Reveja o log e tente novamente."
"New Cookie","Novo Cookie"
"Edit Cookie %1","Editar Cookie %1"
Cookies,Cookies
"%1 cookie(s) has been successfully deleted","%1 cookie(s) foi excluído com sucesso"
"An error has occurred","Ocorreu um erro"
"You saved the item.","Você salvou o item."
"An error has occurred.","Ocorreu um erro."
"Cookie Consents Log","Registro de Consentimentos de Cookies"
"You deleted the cookie group.","Você excluiu o grupo de cookies."
"We can't delete cookie group right now. Please review the log and try again.","Não podemos excluir o grupo de cookies agora. Reveja o log e tente novamente."
"New Cookie Group","Novo Grupo de Cookies"
"Edit Cookie Group %1","Editar Grupo de Cookie %1"
"Cookie Groups","Grupos de Cookies"
"%1 cookie group(s) has been successfully deleted","%1 grupo(s) de cookies foram excluídos com sucesso"
"An error has occured","Ocorreu um erro"
"All Allowed","Permitir Todos"
"None cookies allowed","Nenhum cookie é permitido"
"You saved your cookie settings!","Você salvou as suas configurações de cookies!"
Footer,Rodapé
Top,Topo
Classic,Clássico
"Side Bar","Barra Lateral"
"Pop Up","Pop Up"
"All Countries","Todos os Países"
"EEA Countries","Países EEA"
"Specified Countries","Países Especificos"
None,Nenhum
"1st Party","1º Parte"
"3rd Party","3º Parte"
No,Não
Yes,Sim
"Unable to save cookie consent with ID %1. Error: %2","Incapaz de salvar o consentimento do cookie com ID %1. Erro: %2"
"Unable to save new withConsent. Error: %1","Não foi possível salvar o novo com o Consentimento.  Erro: %1"
"Cookie Consent with specified ID ""%1"" not found.","Consentimento do Cookie com o ID ""%1"" não encontrado."
"Unable to remove Cookie Consent with ID %1. Error: %2","Não é possível remover o Consentimento do Cookie com o ID %1. Erro: %2"
"Unable to remove Cookie Consent. Error: %1","Não foi possível remover o Consentimento do Cookie. Erro: %1"
"Unable to save cookie group with ID %1. Error: %2","Não é possível salvar o grupo de cookies com ID %1. Erro: %2"
"Unable to save new cookie group. Error: %1","Não foi possível salvar o novo grupo de Cookies. Erro: %1"
"Cookie group with specified ID ""%1"" not found.","Grupo de cookies com ID especificado ""%1"" não encontrado."
"Unable to remove cookie group with ID %1. Error: %2","Não é possível remover o grupo de Cookies com ID %1. Erro: %2"
"Unable to remove cookie group. Error: %1","Não foi possível remover o grupo de Cookies. Erro: %1"
"Unable to save cookie with ID %1. Error: %2","Não foi possível salvar o cookie com ID %1. Erro: %2"
"Unable to save new cookie. Error: %1","Não foi possível salvar o novo cookie. Erro: %1"
"Cookie with specified ID ""%1"" not found.","Cookie com ID especificado ""%1"" não encontrado."
"Cookie with specified Name ""%1"" not found.","Cookie with specified Name ""%1"" não encontrado."
"Unable to remove cookie with ID %1. Error: %2","Incapaz de remover o cookie com ID %1. Erro: %2"
"Unable to remove cookie. Error: %1","Incapaz de remover o cookie. Erro: %1"
"[STORE VIEW]","[VISÂO DA LOJA]"
"Amasty GDPR cookie error: cookies ""%1"" are in different groups ""%2"".","Erro de cookie Amasty GDPR: os cookies ""%1"" estão em grupos diferentes ""%2""."
"More Information","Mais Informações"
"Cookie Name","Nome do Cookie"
"Cookie Provider","Provedor do Cookie"
"Cookie Description","Descrição do Cookie"
"Cookie Lifetime","Tempo do Vida do Cookie"
"Cookie Type","Tipo de Cookie"
Done,Feito
"Please select and accept your Cookies Group","Selecione e aceite o seu Grupo de Cookies"
"Cookie Consent","Consentimento de Cookie"
"General Settings","Configurações Gerais"
"Enable Cookie Policy Bar","Ativar a Barra de Política de Cookies"
"Hide the Cookie Bar if No Decision Was Taken","Ocultar a Barra de Cookies se Nenhuma Decisão for Tomada"
"The cookie bar will not be displayed to customers on new pages if they don't accept or decline cookies on the bar. Thus the customer will less be distracted from purchasing.","A barra de cookies não será exibida para clientes em novas páginas se eles não aceitarem ou recusarem os cookies. Assim, o cliente fica menos distraído na compra."
"Countries Restrictment","Restrição de Países"
"It is possible to adjust the visibility of Cookie Policy Bar on frontend according to customer location. Enable the Cookie Policy Bar for All Countries, EEA Countries or specific Countries selected in the list below..","É possível ajustar a visibilidade da Barra de Política do Cookie no frontend de acordo com a localização do cliente. Ative a barra de política de cookies para todos os países, países do EEE ou países específicos selecionados na lista abaixo."
"Display for Specific Countries","Exibir para Países Específicos"
"Cookie Log Auto-Cleaning Period (Days)","Período de Limpeza Automática do Registro de Cookies (dias)"
