"Privacy Settings","Configurações de Privacidade"
"Are you sure you want to do this?","Você tem certeza de que quer fazer isso?"
"Delete Consent","Excluir Consentimento"
"Personal Data","Dados Pessoais"
Anonymise,Anonimato
"Are you sure you want to anonymise personal data?","Tem certeza de que deseja tornar os dados pessoais anônimos?"
Download,Download
Delete,Excluir
"Are you sure you want to delete personal data? (Personal data in previously created orders, invoices, shipments and credit memos will be anonymised then.)","Tem certeza de que deseja excluir os dados pessoais? (Os dados pessoais em pedidos, faturas, remessas e notas de crédito criados anteriormente serão tornados anônimos.)"
Clone,Clonar
"Save and Continue Edit","Salvar e Continuar Editando"
Save,Salvar
Send,Enviar
"Here you can download a copy of your personal data which we store for your order in CSV format.","Aqui você pode baixar uma cópia dos seus dados pessoais que armazenamos quando você faz um pedido em formato CSV."
"Here you can download a copy of your personal data which we store for your account in CSV format.","Aqui você pode baixar uma cópia de seus dados pessoais que armazenamos para sua conta em formato CSV."
"Download personal data","Download Dados Pessoais"
"Anonymise personal data","Anonimizar Dados Pessoais"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","Tornar seus dados pessoais anônimos significa que eles serão substituídos com informações anônimas não pessoais e antes disso você receberá seu novo login no seu endereço de e-mail (sua senha permanecerá a mesma). Após este processo, seu endereço de e-mail e todos os outros dados pessoais serão removidos do site."
"I agree and I want to proceed","Eu concordo e quero continuar"
Proceed,Continuar
"Delete account","Excluir Conta"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Solicite a remoção de sua conta, 
						 juntamente com todos os seus dados pessoais, essa solicitação será processada por nossa equipe.<br>A exclusão de sua conta removerá 
						 todas as compras histórico, descontos, pedidos, faturas e todas as outras informações que possam se relacionar a sua conta ou suas compras. Todos os seus pedidos e informações semelhantes serão excluidos.
						 <br>Você não poderá restaurar o acesso à sua conta após aprovarmos a sua solicitação de remoção."
"I understand and I want to delete my account","Eu entendo e quero excluir minha conta"
"Submit request","Enviar Pedido"
"Given Consent","Dado o Consentimento"
"Here you can opt in or opt out from consents that were previously given.","Aqui, você pode optar por receber ou não consentimentos que foram dados anteriormente."
"Action Log","Log de Ações"
"Action logs was successfully removed.","Os logs de ação foram removidos com sucesso."
"Consent Log","Registro de Consentimento"
"Consent logs was successfully removed.","Os logs de consentimento foram removidos com sucesso."
"Customers Consents Email Queue","Consentimento de Clientes Fila de Email"
"You have successfully deleted the consent","Você excluiu com sucesso o consentimento"
"We can't delete item right now. Please review the log and try again.","Não podemos excluir o item agora. Reveja o log e tente novamente."
"Edit Consent","Editar Consentimento"
"This consent no longer exists...","Este consentimento não existe mais ..."
"New Consent","Novo Consentimento"
"Consent Checkboxes","Caixas de Seleção de Consentimento"
"An error has occurred","Ocorreu um erro"
"You saved the consent.","Você salvou o consentimento."
"Consent with code %1 already exists.","O consentimento com o código %1 já existe."
"Cookie Policy Consents","Consentimentos de Política de Cookies"
"Personal data cannot be anonymised right now, because the customer has non-completed order(s): %1","Os dados pessoais não podem ser tornados anônimos agora, porque o cliente tem pedido(s) não concluído(s): %1"
"Personal data cannot be anonymised right now, because the customer has active Gift Registry.","Os dados pessoais não podem ser tornados anônimos agora, porque o cliente tem um registro de presente ativo."
"An error has occurred: %1","Ocorreu um erro: %1"
"Personal data cannot be deleted right now, because the customer has non-completed order(s): %1","Os dados pessoais não podem ser excluídos agora, porque o cliente tem pedido(s) não concluído(s): %1"
"Personal data cannot be deleted right now, because the customer has active Gift Registry.","Os dados pessoais não podem ser excluídos agora, porque o cliente tem um registro de presente ativo."
"This policy no longer exists.","Esta política não existe mais."
"You deleted the policy.","Você excluiu a política."
"New Privacy Policy","Nova Política de Privacidade"
"Edit Privacy Policy %1","Editar Política de Privacidade %1"
"Privacy Policy","Política de Privacidade"
"Please correct the data sent.","Corrija os dados enviados."
"Something went wrong while saving the question.","Algo deu errado ao salvar a pergunta."
"%1 policies(s) has been successfully deleted","%1 políticas foram excluídas com sucesso"
"Privacy policy with the same version already exists.","Já existe uma Política de Privacidade com a mesma versão."
"You saved the item.","Você salvou o item."
"%1 customer(s) has been successfully deleted","%1 cliente(s) foi excluído com sucesso"
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)","%1 cliente(s) não foi excluído com sucesso, porque eles têm pedido(s) não concluído(s)"
"Delete Requests","Excluir Solicitações"
"Deny Delete Requests","Negar Solicitação de Exclusão"
"An error has occurred. Please check logs for more details","Ocorreu um erro. Por favor, verifique os logs para mais detalhes"
"%1 email(s) has been sent","%1 e-mail(s) foi(foram) enviado(s)"
"Customers With Consent","Clientes com Consentimento"
"Customers were successfully added to email queue","Os clientes foram adicionados com sucesso à fila de e-mail"
"Customers Without Consent","Clientes sem Consentimento"
"Invalid Form Key. Please refresh the page.","Chave de Formulário Inválida. Atualize a página."
"Access denied.","Acesso negado."
"Wrong Password. Please recheck it.","Senha incorreta. Verifique novamente."
"Your delete account request is awaiting for the review by the administrator.","Sua solicitação de exclusão de conta está aguardando a revisão do administrador."
"We can not process your account deletion request right now, because you have active Gift Registry.","Não podemos processar seu pedido de exclusão de conta agora, porque você tem um registro de presente ativo."
"Thank you, your account delete request was recorded.","Obrigado, sua solicitação de exclusão de conta foi registrada."
"We can not anonymize order","Não podemos tornar o pedido anônimo"
"We can not anonymize your account right now, because you have non-completed order(s):%1","Não podemos tornar sua conta anônima agora, porque você tem pedidos não concluídos:%1"
"We can not anonymize your account right now, because you have active Gift Registry","Não podemos tornar sua conta anônima agora, porque você tem um registro de presente ativo"
"Anonymisation was successful","O anonimato da conta foi bem-sucedido"
"Thank you for your cooperation. Your consent was recorded.","Obrigado pela sua cooperação. Seu consentimento foi registrado."
"Something went wrong.","Algo deu errado."
"Changes has been saved.","As alterações foram salvas."
"Invalid Policy version.","Versão de Política inválida."
