"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
"Customer is already registered","O cliente já está cadastrado"
"Your session has expired","Sua sessão expirou"
"A letter with further instructions will be sent to your email.","Uma carta com mais instruções será enviada para o seu e-mail."
"The confirmation request has been sent.","O pedido de confirmação foi enviado."
"Please enter a valid email address.","Por favor insira um endereço de e-mail válido."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Desculpe, mas o administrador negou a assinatura para convidados. Por favor, <a href=""%1"">registre-se</a>."
"This email address is already assigned to another user.","Este endereço de e-mail já está atribuído a outro usuário."
"Please, select a static block","Por favor, selecione um bloco estático"
"Use existing rule","Use a regra existente"
"This order already has associated customer account","Este pedido já está associado a uma conta de cliente"
Preview,Pré-visualização
"Due to safety concerns, the link has a short lifetime and can be used only once. If you need to see this page once more, go to the extension configuration page and press the Preview button again.","Por questões de segurança, o link tem um tempo de vida curto e pode ser usado apenas uma vez. Se precisar ver esta página novamente, vá para a página de configuração da extensão e pressione o botão de Visualização novamente."
"To access simplified block sorting,please disable Thank You Page Markup Editor in the Advanced Layout Management section.","Para acessar a ordenação simplificada de blocos, desative o Editor de Marcação de Página de Agradecimento na seção de Gerenciamento Avançado de Layout."
"Make sure that the block you want to use is enabled, otherwise it won't be displayed. If the block is enabled but the corresponding variable isn't inserted in the text editor, it won't be displayed either. Double braces around variable names should not be omitted","Certifique-se de que o bloco que você deseja usar está habilitado, caso contrário, ele não será exibido. Se o bloco estiver habilitado, mas a variável correspondente não for inserida no editor de texto, ele também não será exibido. As chaves duplas ao redor dos nomes das variáveis não devem ser omitidas."
"Selected Rule: ","Regra Selecionada: "
"You need to save your config first to see a relevant preview of Thank You page. Preview will be generated based on the most recent order in the system. If there are no orders, the page will be blank. Preview generation may take some time.","Você precisa salvar sua configuração primeiro para ver uma prévia relevante da página de Agradecimento. A prévia será gerada com base no pedido mais recente no sistema. Se não houver pedidos, a página ficará em branco. A geração da prévia pode levar algum tempo."
"Email:","E-mail:"
"Enter your email address","Insira o seu endereço de e-mail"
Password,Senha
"Password Strength","Força da Senha"
"No Password","Nenhuma Senha"
"Confirm Password","Confirme a Senha"
"Date of Birth","Data de Nascimento"
"I accept terms & conditions","Eu aceito os termos & condições"
"Create Account","Criar Conta"
Newsletter,Newsletter
"Sign Up for Our Newsletter:","Assine a Nossa Newsletter:"
Subscribe,Inscrever-se
"Please, select a static block.","Por favor, selecione um bloco estático."
"Error occurred","Ocorreu um erro"
"Select Date","Selecione a Data"
"Preview Thank You page","Visualizar a Página de Agradecimento"
"Thank You Page","Página de Agradecimento"
Information,Informações
"General Settings","Configurações Gerais"
"Enable Thank You Page","Habilitar Página de Agradecimento"
"Blocks Sorting Order","Ordem de Classificação dos Blocos"
Coupons,Cupons
"You can configure a coupon here to use it in blocks as {{coupon}}.","Você pode configurar um cupom aqui para usá-lo nos blocos como {{coupon}}."
"Search for Rule","Buscar por Regra"
"Block Configuration - Header","Configuração de Bloco - Cabeçalho"
Display,Exibição
"Use CMS Block","Usar Bloco CMS"
"Select CMS Block","Selecione o Bloco CMS"
"You can create new CMS block in ""Content > Elements > Blocks""","You can create new CMS block in ""Content > Elements > Blocks"""
Title,Título
"Sub Title","Subtítulo"
Text,Texto
"Background Image","Imagem de Fundo"
"Allowed file types: 'png', 'jpg', 'jpe', 'jpeg', 'gif'","Tipos de arquivos permitidos: 'png', 'jpg', 'jpe', 'jpeg', 'gif'"
"Block Configuration - Order Review","Configuração do Bloco - Revisão do Pedido"
"Block Configuration - Custom 1","Configuração do Bloco - Personalizado 1"
"Block Configuration - Custom 2","Configuração do Bloco - Personalizado 2"
"Block Configuration - Custom 3","Configuração do Bloco - Personalizado 3"
"Block Configuration - Newsletter","Configuração do Bloco - Newsletter"
"To show for guests newsletter should be enabled for guests in Newsletter settings","To show for guests newsletter should be enabled for guests in Newsletter settings"
"Confirmation Message","Mensagem de Confirmação"
"Text For Already Subscribed","Texto Para já Inscritos"
"Block Configuration - Cross-Sell","Configuração de Bloco - Venda Cruzada"
"Products Limit","Limite de Produtos"
"Show Out Of Stock","Mostrar Produto Esgotado"
"Block Configuration - Create Account","Configuração do Bloco - Criar Conta"
"Show Email Field","Mostrar Campo de E-mail"
"Show Terms And Conditions","Mostrar Termos e Condições"
"Terms Text","Texto dos Termos"
"Advanced Layout Management","Gerenciamento Avançado de Layout"
"Enable Thank You Page Markup Editor","Ativar Editor de Marcação da Página de Agradecimento"
"Enabling this option overrides blocks sorting order set in General Settings.","Ativar esta opção sobrescreve a ordem de classificação dos blocos definida nas Configurações Gerais."
"Thank You Page Markup Editor","Editor de Marcação de Página de Agradecimento"
"Force Single Column Layout for Mobile View","Forçar Layout de Uma Coluna para Visualização Mobile"
"Preview Settings","Configurações de Visualização"
"Test Order ID","ID Pedido de Teste"
"Preview will be generated based on the provided order id or, if left empty, the most recent order in the system. If there are no orders or if provided id is incorrect, the page will be blank. Remember to save your config first to see a relevant preview of Thank You page.","A pré-visualização será gerada com base no ID do pedido fornecido ou, se deixado em branco, no pedido mais recente do sistema. Se não houver pedidos ou se o ID fornecido estiver incorreto, a página ficará em branco. Lembre-se de salvar sua configuração primeiro para visualizar corretamente a Página de Agradecimento."
