"Advanced Pricing","Preços Avançados"
"Tier Prices","Niveis de Preços"
"ALL GROUPS","TODOS OS GRUPOS"
"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
"Something went wrong while updating the product(s) data.","Algo deu errado ao atualizar os dados do(s) produto(s)."
"Something was wrong. Please try again.","Algo deu errado. Por favor, tente novamente."
"Assign Category","Atribuir Categoria"
"Are you sure you want to assign category?","Tem certeza que deseja atribuir a categoria?"
"Category IDs","IDs Categorias"
"id1,id2,id3","id1,id2,id3"
"Can not handle the category ID=%1, the error is: %2","Não consigo lidar com a categoria ID=%1, o erro é: %2"
"Total of %1 category(ies) and %2 product(s) have been successfully updated.","Total de %1 categoria(s) e %2 produto(s) foram atualizados com sucesso."
"Please provide comma separated category IDs","Forneça IDs de categoria separados por vírgula"
"Magento2 does not allow to save the category ID=%1","Magento2 não permite salvar a categoria ID=%1"
"Modify Price using Cost","Modifique o Preço usando o Custo"
"Are you sure you want to modify price using cost?","Tem certeza de que deseja modificar o preço usando o custo?"
"Modify Special Price using Price","Modifique o Preço Especial usando o Preço"
"Are you sure you want to modify special price using price?","Tem certeza de que deseja modificar o preço especial usando o preço?"
"Modify Special Price using Cost","Modifique o preço especial usando o custo"
"Are you sure you want to modify special price using cost?","Tem certeza de que deseja modificar o preço especial usando o custo?"
"Fast Delete","Excluir Rápido"
"Are you sure you want to apply Fast Delete?","Tem certeza de que deseja aplicar o recurso Excluir Rápido?"
"Please select product(s)","Selecione o(s) produto(s)"
"Products have been successfully deleted. We recommend to refresh indexes at the System > Index Management page.","Os produtos foram excluídos com sucesso. Recomendamos atualizar os índices na página Sistema > Gerenciamento de Índice."
"Append Text","Anexar Texto"
"Are you sure you want to append text?","Tem certeza que deseja acrescentar texto?"
Append,Acrescentar
attribute_code->text,attribute_code->text
"Total of %1 products(s) have been successfully updated.","Total de %1 produto(s) atualizado(s) com sucesso."
"Field must contain ""' . . '""","O campo deve conter ""' . . '"""
"There is no product attribute with code `%1`, ","Não há atributo de produto com código `%1`, "
"Change Attribute Set","Alterar Conjunto de Atributos"
"Are you sure you want to change attribute set?","Tem certeza de que deseja alterar o conjunto de atributos?"
To,Para
"Attribute Set Id","Id do Conjunto de Atributos"
"Please provide a valid Attribute Group ID","Forneça um ID de Grupo de Atributo válido"
"Provided Attribute set non product Attribute set.","Conjunto de Atributos fornecidos não conjunto de atributos de produtos."
"Can not change the attribute set for product ID %1, error is: %2","Não é possível alterar o atributo definido para o ID do produto %1, o erro é: %2"
