"Are you sure you want to do this?","Você tem certeza de que quer fazer isso?"
"Delete Tab","Apagar Guia"
"Are you sure you want to duplicate this?","Tem certeza que deseja duplicar?"
Duplicate,Duplicado
"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
Conditions,Condições
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplique a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)."
"N/A","N/A"
"No","Não"
"We can't change item right now. Please review the log and try again.","Não podemos alterar o item neste momento. Por favor, verifique o log e tente novamente."
"A total of %1 record(s) have been changed.","Um total de %1 registro(s) foi(ram) alterado(s)."
"No records have been changed.","Nenhum registro foi alterado."
"You have deleted the tab.","Você excluiu a aba."
"You can't delete default tab.","Você não pode excluir a aba padrão."
"We can't delete item right now. Please review the log and try again.","Não podemos excluir o item neste momento. Por favor, verifique o log e tente novamente."
"You have duplicated the tab.","Você duplicou a aba."
"You can't duplicated default tab.","Você não pode duplicar a aba padrão."
"We can't duplicate item right now. Please review the log and try again.","Não podemos duplicar o item neste momento. Por favor, verifique o log e tente novamente."
"Edit Tab ""%1""","Editar Guia ""%1"""
"This tab no longer exists.","Esta guia não existe mais."
"New Tab","Nova Guia"
"Amasty Advanced Tabs","Amasty Guias Avançadas"
"Tab Management","Gerenciamento de Guias"
"You can't delete default tab with ID %1.","Você não pode excluir a aba padrão com o ID %1."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foi(ram) excluído(s)."
"No records have been deleted.","Nenhum registro foi excluído."
"You can't duplicate default tab with ID %1.","Você não pode duplicar a aba padrão com o ID %1."
"A total of %1 record(s) have been duplicated.","Um total de %1 registro(s) foi(ram) duplicado(s)."
"Tab has been saved.","A guia foi salva."
"The wrong item is specified.","O item errado foi especificado."
%1,%1
"Custom Variables","Variáveis Personalizadas"
All,Tudo
Disabled,Desativado
Enabled,Habilitado
Custom,Personalizado
Default,Padrão
3rd-party,terceiro
"Unable to save tabs with ID %1. Error: %2","Não foi possível salvar guias com ID %1. Erro: %2"
"Unable to save new tabs. Error: %1","Não foi possível salvar novas guias. Erro: %1"
"Tabs with specified ID ""%1"" not found.","Guias com ID especificadas ""%1"" não encontradas."
"Unable to remove tabs with ID %1. Error: %2","Incapaz de remover guias com ID %1. Erro: %2"
"Unable to remove tabs. Error: %1","Incapaz de remover guias. Erro: %1"
"Copy of ","Cópia de "
"Insert Attribute...","Inserir Atributo..."
"Please kindly keep in mind that the changes won't be applied to frontend.
     To make your changes visible on frontend please set 'Allow Editing Default Magento Tabs' to 'Yes'
     <a target=""_blank"" href=""%1"">here</a>.","Por favor, tenha em mente que as alterações não serão aplicadas ao frontend.
     Para tornar suas alterações visíveis no frontend, defina 'Permitir Edição das Abas Padrão do Magento' como 'Sim'
     <a target=""_blank"" href=""%1"">aqui</a>."
"Edit Attribute","Editar Atributo"
"Insert Attribute","Inserir Atributo"
"The attribute %1 is no longer available. Select a different attribute.","O atributo %1 não está mais disponível. Selecione um atributo diferente."
Cancel,Cancelar
Save,Salvar
"Product Tabs","Guias de Produto"
Information,Informações
General,Geral
"Extension Enabled","Extensão Habilitada"
"Allow Editing Default Magento Tabs","Permite a Edição das Guias Padrão do Magento"
"Accordion View","Visão de Acordeão"
"Amasty Tabs","Amasty Guias"
"Indexed tab/product association","Guia indexado/associação de produto"
"Indexed product/tab association","Associação de produto/guia indexado"
"Attribute Name","Nome do Atributo"
"Attribute Code","Código do Atributo"
"Edit Tab","Editar Guia"
Back,Voltar
"Save Tab","Salvar Guia"
"Save and Continue Edit","Salvar e Continuar Editando"
"Tabs Details","Detalhes das Guias"
Type,Tipo
"
                            <ul>
                            <li>‘Default’ - default Magento tabs</li>
                            <li>‘Custom’ - the tabs created via the extension</li>
                            <li>‘3rd-party’ - the tabs generated by any other third-party extensions</li>
                            </ul>
                        ","
                            <ul>
                            <li>‘Default’ - default Magento tabs</li>
                            <li>‘Custom’ - the tabs created via the extension</li>
                            <li>‘3rd-party’ - the tabs generated by any other third-party extensions</li>
                            </ul>
                        "
Status,Status
"Tab Name","Nome da Guia"
"Set tab name describing its content/conditions to display","Defina o nome da guia descrevendo seu conteúdo/condições para exibição"
"Tab Title","Título da Guia"
"Tab name to be displayed on product pages","Nome da Guia a ser exibido nas Páginas do Produto"
"Tab Order","Ordem da Guia"
"Store View","Visualização da Loja"
"Customer Groups","Grupos de Clientes"
"Tab Content","Conteúdo da Guia"
"Edit Tab Content","Editar o Conteúdo da Guia"
"Related, Up-Sell, Cross-Sell Products","Produtos Relacionados, Up-Sell, Cross-Sell"
"Show Related Products","Mostrar Produtos Relacionados"
"Show Up-Sell Products","Mostrar Produtos Up-Sell"
"Show Cross-Sell Products","Mostrar Produtos de Venda Cruzada"
"Assign to Products","Atribuir a Produtos"
"Add New Tab","Adicionar Nova Guia"
Delete,Excluir
"Delete items","Apagar itens"
"Are you sure you want to delete selected items?","Tem certeza que deseja excluir os itens selecionados?"
Enable,Habilitar
Disable,Desabilitar
ID,ID
"Module Name","Nome do Módulo"
"Customer Group","Grupo de Clientes"
Edit,Editar
