Back,Voltar
Autofill,Preencher Automático
"Save and Check Connection","Salvar e Verificar a Conexão"
"Connection Successful!","Conexão realizada com sucesso!"
"Debug log has been cleared.","O log de depuração foi limpo."
Reports,Relatórios
"SMTP Debug Log","Registro de Depuração SMTP (Log)"
"Emails log has been cleared.","O registro de e-mails foi apagado."
"Sent Emails Log","Log de E-mails enviados"
"This log message no longer exists.","Esta mensagem de log não existe mais."
"View Message","Ver Mensagem"
"Authentication Not Required","Autenticação Não Necessária"
Login/Password,Login/Senha
None,Nenhum
SSL,SSL
TLS,TLS
Pending,Pendente
"Successfully Sent","Enviado com Sucesso"
Failed,Falhou
"Starting to auto clear debug log (after %1 days)","Iniciando a limpeza automática do log de depuração (após %1 dias)"
"Ready to send e-mail at amsmtp/transport::sendMessage()","Pronto para enviar e-mail para amsmtp/transport::sendMessage()"
"E-mail sent successfully at amsmtp/transport::sendMessage().","E-mail enviado com sucesso para amsmtp/transport::sendMessage()."
"Actual delivery disabled under settings.","Entrega real desativada nas configurações."
"Error sending e-mail: %1","Erro ao enviar e-mail: %1"
"Preparing to send test e-mail to %1 from %2","Preparando para enviar e-mail de teste para %1 de %2"
"Amasty SMTP Email Test Message","Mensagem de Teste de E-mail SMTP Amasty"
"If you see this e-mail, your configuration is OK.","Se você recebeu este e-mail, sua configuração SMTP está OK. ;)"
"Test e-mail was sent successfully!","O e-mail de teste foi enviado com sucesso! :)"
"Test e-mail failed: %1","O e-mail de teste falhou: %1"
"Connection test successful: connected to %1","Teste de conexão bem-sucedido: conectado ao %1"
"Connection failed","Conexão falhou"
"'Sender Email' or 'Sender Name' is empty. Please ensure that all values in the 'General Contact' section are correctly set by visiting Stores > Configuration > General > Store Email Addresses.","'E-mail do remetente' ou 'Nome do Remetente' está 'vazio'. Certifique-se de que todos os valores na seção 'Contato geral' estejam corretamente definidos em Lojas > Configuração > Geral > Endereços de e-mail da Loja."
View,Visão
"Please note that ""SMTP for E-mail extension"" is disabled.","Observe que "" SMTP para extensão de e-mail "" está desativado."
"Debug info","Informações de Depuração (Debug)"
Date,Data
Subject,Assunto
To,Para
Body,Corpo
"SMTP Email Settings","Configurações de E-mail SMTP"
"General Settings","Configurações Gerais"
"Enable SMTP For E-mail","Habilitar SMTP para E-mail"
"When disabled, the extension has no impact on Magento e-mail sending routines.","Quando desabilitada, a extensão não tem impacto nas rotinas de envio de e-mail do Magento."
"Log Outgoing Mail","Log Outgoing Mail"
"Makes it possible to see the list of all e-mails ever sent through Magento, including email contents.","Torna possível ver a lista de todos os e-mails já enviados através do Magento, incluindo o conteúdo do e-mail."
"Enable Debug Mode","Ativar Modo de Depuração"
"When enabled, all debug information is logged. Recommended not to use on production sites.","Quando habilitado, todas as informações de depuração são registradas. Recomendado não usar em locais de produção."
"Disable E-mail Delivery","Desativar Entrega de E-mail"
"Set to ""Yes"" to not actually send e-mails. Useful when logging is enabled, for debug/development purposes.","Defina como "" Sim "" para não enviar e-mails. Útil quando o registro está habilitado, para fins de depuração/desenvolvimento."
"SMTP Configuration","Configuração SMTP"
"SMTP Provider","Provedor SMTP"
"Pre-defined SMTP providers","Provedores SMTP Predefinidos"
"Server Address","Endereço do Servidor"
"Either host name or IP address","Nome do host ou endereço IP"
Port,Porta
"Usually is 25, 587 or 465. Please consult with your service provider.","Geralmente é 25, 587 ou 465. Consulte o seu provedor de serviços."
"Authentication Method","Método de Autenticação"
Login,Login
Password,Senha
"Connection Security","Segurança da Conexão"
"Use Another Email Sender","Use outro Remetente de E-mail"
"Be careful! Use Sender with the same domain from where you send mail. Otherwise, your mail server can get into the ban because of spam.","Seja cuidadoso! Use Sender com o mesmo domínio de onde você envia e-mails. Caso contrário, seu servidor de e-mail pode ser banido por causa de spam."
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Send Test E-mail To","Enviar E-mail de Teste para"
"Automatic Log Clearing","Limpeza Automática de Log"
"Clear Sent Emails Log After","Limpar Registro de E-mails Enviados Depois"
"Automatically remove old log records after specified number of days. If set to 0, will not auto clean.","Remova automaticamente os registros de log antigos após um número especificado de dias. Se definido como 0, não fará a limpeza automática."
"Clear Debug Log After","Limpar Log de Depuração Após"
"Clear Debug Log","Limpar Log de Depuração"
Message,Mensagem
"Clear Sent Emails Log","Limpar Registro de E-mails Enviados"
"Recipient Email","E-mail do Destinatário"
Status,Status
