"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Faça o upload novamente e substitua todos os arquivos."
"Please kindly keep in mind that Apple guidelines require rectangular shape of the sign-in button. We strongly recommend to make the appropriate changes in Login Buttons Shape setting.","Lembre-se de que as diretrizes da Apple exigem o formato retangular do botão de login. Recomendamos enfaticamente fazer as alterações apropriadas na configuração da forma dos botões de login."
"Additional Social Login package is not installed or need to be updated. Please, run the following command in the SSH: composer require hybridauth/hybridauth:~3.3","O pacote de login social adicional não está instalado ou precisa ser atualizado. Por favor, execute o seguinte comando no SSH: composer require hybridauth/hybridauth:~3.3"
"The Key used for Apple ID authorization has expired. Please timely update all necessary API credentials to guarantee proper further functioning.","A chave usada para autorização do Apple ID expirou. Atualize todas as credenciais de API necessárias para garantir o funcionamento adequado."
"The Key used for Apple ID authorization expires %1. Please timely update all necessary API credentials to guarantee proper further functioning.","A chave usada para autorização do Apple ID expira em %1. Atualize todas as credenciais de API necessárias para garantir o funcionamento adequado."
"You are now logged out.","Desconectando da Loja Virtual"
"My Social Accounts","Minhas Redes Sociais"
"Your site is configured to use HTTP connection and Facebook API does not allow it for login. Please configure HTTPS connection for your site.","Seu site está configurado para usar conexão HTTP e a API do Facebook não permite o login. Configure a conexão HTTPS para o seu site."
"Popup Registration Form","Popup Formulário de Registro"
"Social Login","Social Login"
"Sorry. We cannot find social type. Please try again later.","Desculpe. Não podemos encontrar o tipo social. Por favor, tente novamente mais tarde."
"Sorry. We cannot find your email. Please enter email in your %1 profile.","Desculpe. Não conseguimos encontrar seu e-mail. Por favor, insira o e-mail no seu perfil %1."
"Sorry. We cannot connect to this social profile. It is used for another site account.","Desculpe. Não podemos nos conectar a este perfil social. Ele é usado para outra conta do site."
"You have successfully logged in using your %1 account.","Você se conectou com sucesso usando a sua conta %1."
"Please check Callback Url in social app configuration","Verifique o URL de Retorno na configuração do aplicativo social"
"An unspecified error occurred. Please try again later.","Ocorreu um erro não especificado. Por favor, tente novamente mais tarde."
"Sorry. We cannot find your email. Please sign in, enter My Account ->
                        My Social Accounts tab and link your %1 Social Account.","Desculpe. Não conseguimos encontrar o seu e-mail. Faça o login, entre em Minha Conta ->
                        Clique na guia Minhas Redes Sociais e vincule a sua conta da social %1."
"We can`t get customer email from your social account.","Não podemos obter o e-mail do cliente a partir de sua conta social."
"The account is locked.","A conta está bloqueada."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Você deve confirmar a sua conta. Verifique o seu e-mail para obter o link de confirmação ou <a href=""%1"">Clique Aqui</a> para obter um novo link."
"We have created new store account using your email address.","Criamos uma nova conta na loja usando o seu endereço de e-mail."
"The registration process is almost completed! Please kindly fill out a few more fields to finish it.","O processo de registro está quase concluído! Por favor, preencha mais alguns campos para finalizá-lo."
"An unspecified error occurred during creating new customer.","Ocorreu um erro não especificado durante a criação de um novo cliente."
"Please read and accept the privacy policy","Por favor, leia e aceite a Política de Privacidade"
"Unable to save sales with ID %1. Error: %2","Incapaz de salvar a venda com ID %1. Erro: %2"
"Unable to save new sales. Error: %1","Incapaz de salvar novas vendas. Erro: %1"
"Sales with specified ID ""%1"" not found.","Vendas com ID especificada ""%1"" não encontradas."
"Unable to remove sales with ID %1. Error: %2","Incapaz de remover vendas com ID %1. Erro: %2"
"Unable to remove sales. Error: %1","Incapaz de remover as vendas. Erro: %1"
"Unable to save social data with ID %1. Error: %2","Não foi possível salvar os dados sociais com ID %1. Erro: %2"
"Unable to save new social sata item. Error: %1","Incapaz de salvar um novo item de dados social. Erro: %1"
"Social item with specified ID ""%1"" not found.","Item social com ID especificado ""% 1"" não encontrado."
"Unable to remove social item with ID %1. Error: %2","Incapaz de remover o item social com ID %1. Erro: %2"
"Unable to remove social item. Error: %1","Incapaz de remover o item social. Erro: %1"
"New User","Novo Usuário"
Top,Topo
Bottom,Inferior
Right,Direita
Left,Esquerda
"Login Popup","Login Popup"
"Above customer login form","Acima do formulário de login do cliente"
"Below customer login form","Abaixo do formulário de login do cliente"
"Above customer registration form","Acima do formulário de registro do cliente"
"Below customer registration form","Abaixo do formulário de registro do cliente"
"Shopping cart page","Página do Carrinho de Compras"
"Stay on the current page","Fique na Página Atual"
"To Custom Url","Para URL Personalizado"
"Refresh Current Page","Atualizar a Página Atual"
"Round Buttons","Botões Redondos"
"Rectangular Buttons","Botões Retangulares"
"Square Buttons","Botões Quadrados"
"Your account was successfully unlinked.","Sua conta foi desvinculada com sucesso."
"Sorry. We can`t find information about your account.","Desculpe. Não encontramos as informações da sua conta."
"Top Social Login","Top Social Login"
Users:,Usuários:
"Purchased Items:","Itens Adquiridos:"
Amount:,Quantidade:
"Other connections","Outras Conexões"
Users,Usuários
"Purchased Items","Itens Adquiridos"
Amount,Quantidade
"Social Login Chart","Gráfico do Social Login"
"Linked accounts","Contas ligadas"
Unlink,Desvincular
"Link new accounts","Vincular novas contas"
Link,Link
"Link  %1","Link  %1"
Login,Entrar
Register,Cadastrar
"Forgot Your Password?","Esqueceu sua Senha?"
or,ou
"Login with Your Social Profile","Acesse com a sua Rede Social Favorita"
"Login with","Entrar com"
"Sign in with %1","Entrar com %1"
"Continue with %1","Continue com %1"
"You have successfully logged in.","Você foi conectado ao sistema com sucesso."
"Thank you for registering with us.","Agradecemos por se registrar em nossa Loja."
Email,Email
Password,Senha
"Sorry, an unspecified error occurred. Please try again.","Desculpe, ocorreu um erro não especificado. Por favor, tente novamente."
"Show More","Veja Mais"
Information,Informação
"General Settings","Configurações Gerais"
"Enable Social Login","Habilitar Social Login"
"Set 'Yes' to allow login via social networks. Set 'No' to disable social login buttons. Note that the AJAX Pop-up can still be applied for standard login and registration.","Defina 'Sim' para permitir o login através de redes sociais. Defina 'Não' para desativar os botões de login social. Observe que o Pop-up AJAX ainda pode ser aplicado para o login e registro padrão."
"Add Social Login to","Adicionar Login Social a"
"Choose where to place the social login.","Escolha onde colocar o login social."
"Login Buttons Shape","Forma dos Botões de Login"
"Enable Ajax Popup","Habilitar Ajax Popup"
"Set 'Yes' to activate AJAX Pop-up for the registration and login.","Defina como 'Sim' para ativar o pop-up AJAX para registro e login."
"Login Buttons Position","Posição dos Botões de Login"
"Please configure the Social Login Buttons position in the Ajax pop-up. Note that the bottom position is the only available option for the registration pop-up.","Configure a posição dos botões de login social no pop-up AJAX. Observe que a posição inferior é a única disponível para o pop-up de registro."
"Redirect after Login","Redirecionar Após o Login"
"Redirect Url after Login","URL de Redirecionamento Após o Login"
"Select the behavior and the page to direct customers after their social login.","Selecione o comportamento e a página para onde os clientes serão direcionados após o login social."
"Use New Redirect URI","Usar Novo URI de Redirecionamento"
"Redirect URI will soon be replaced by New Redirect URI. To avoid functioning downtime we strongly recommend to switch to new url before next extension’s update.","O URI de redirecionamento em breve será substituído por um Novo URI de redirecionamento. Para evitar o tempo de inatividade, é altamente recomendável mudar para um novo URL antes da próxima atualização da extensão."
"New Redirect URL","Novo URL de Redirecionamento"
Google,Google
Enabled,Habilitado
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>."
"Consumer Key (API Key)","Chave do Consumidor (Chave API)"
"Consumer Secret (API Secret)","Segredo do Consumidor (Segredo API)"
"Valid Callback URL (Deprecated)","URL de Retorno de Chamada Válido (descontinuado)"
"Sort Order","Ordem de Classificação"
Facebook,Facebook
Twitter,Twitter
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">aqui</a>."
"Instagram","Instagram"
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">aqui</a>."
"LinkedIn","LinkedIn"
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">aqui</a>."
"Amazon","Amazon"
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">aqui</a>."
"Paypal","Paypal"
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">aqui</a>."
"Twitch","Twitch"
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">here</a>.","Veja como configurar o aplicativo <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">aqui</a>."
"Login type","Tipo de Login"
